Run_ID,Feed_Temp_K,Feed_Press_Pa,Benzene_Frac,Stages,Feed_Stage,Reflux_Ratio,Bottoms_Rate,x_D_Benzene,x_B_Benzene,Q_C_kW,Q_R_kW,Converged
1717,301.41787825317357,147998.47650915105,0.5549818537904057,28,5,4.696918300923429,40.65582641542795,0,0,0,0,False
1718,306.056243532,124648.25854546143,0.3170301675208549,17,10,4.857628465276949,48.198264169844485,0.3310065929753708,0.0003275174786710136,212138.14186721973,223421.74794905505,True
1719,331.8204657476603,132404.57457168735,0.6475264522538124,24,7,4.7134571026175625,40.8719170799158,0,0,0,0,False
1720,329.364169508428,116232.41526558287,0.5826455594443755,19,5,1.9546300692762644,53.979846926089486,0.6103137959614213,5.762986097723715e-06,108605.81409624396,114535.49577307962,True
1721,296.7806208164608,131991.7403190193,0.3982136947540776,25,5,2.4797731004202372,48.716469229954654,0,0,0,0,False
1722,310.40919003154977,144863.37423301593,0.683494684130504,24,7,4.937292453550549,51.203324062311076,0,0,0,0,False
1723,332.8441428884677,102430.75790304337,0.6839998067550366,25,9,1.5849862083501538,58.04141782350857,0,0,0,0,False
1724,335.56990040811087,126491.10418541092,0.6492117011390991,16,9,2.809498490492448,52.37709970443255,0.6786680892455618,0.0013522260815357508,140636.01847984985,145188.39521999747,True
1725,311.6407148372251,127794.87130030333,0.5717795979052185,29,8,2.264158068817907,55.07807415230773,0,0,0,0,False
1726,345.91241673557306,136825.71923709064,0.5961416389196006,27,8,1.5578605927816032,53.48089157300562,0,0,0,0,False
1727,299.2291592874474,130718.8538112859,0.6413498449196913,17,9,1.3374799799555288,40.193929033651486,0.6634875465140961,0.001044063606904618,87263.57503093174,97744.03451989945,True
1728,315.5791830069183,112486.0488428153,0.43269463891919313,27,7,4.343415606091208,48.840281284226045,0,0,0,0,False
1729,320.8498440444269,118306.56497866556,0.35337135073979103,20,10,3.302862562545352,53.573837717814925,0.37068258851782004,4.515954795360485e-05,155621.63996281486,164270.9770257389,True
1730,329.143055905744,133405.4657423788,0.6852810986834541,27,8,3.25324130343291,52.66931701629933,0,0,0,0,False
1731,320.63321468959197,132325.43991528198,0.3731947127929575,16,5,1.700566966088939,48.89800755389892,0.3897555604350197,3.558856756877913e-05,98284.29792758205,106841.10593492545,True
1732,337.26021812051005,124151.27026690505,0.3444283656771873,29,11,3.633159824526346,41.09721457636403,0,0,0,0,False
1733,316.4502459724144,136997.9060181919,0.3507548313294089,27,7,4.240012744501965,56.15253420962864,0,0,0,0,False
